country,carrier,year,min,max,unit,Source,component
Eur,H2 Electrolysis,2030,46978.7605,111532.3583,MW_H2,"https://www.iea.org/data-and-statistics/data-tools/hydrogen-production-projects-interactive-map(accessed 2024/12/05) minimum: operational, FID & feasibility study maximum: all statuses",link
PL,gas for electricity,2020,,3000.0,MW,https://ember-energy.org/latest-insights/stepping-on-the-gas/,link
PL,gas for electricity,2025,,5500.0,MW,value from 2024 communicated by Forum Energii 2025/03/07,link
PL,gas for electricity,2030,,15000.0,MW,communicated by Forum Energii 2025/03/07,link
RO,H2 Electrolysis,2030,1305.57,,MW_H2,maximum as communicated by EPG 2025/01/31,link
RO,co2 sequestered,2030,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2035,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2040,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2045,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2050,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,gas for electricity,2020,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2025,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2030,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2035,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2040,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2045,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2050,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
AL,offwind,2030,16.41475865805175,22.20820289030531,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
AT,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BA,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BE,offwind,2030,1906.6196397331657,2672.500766875582,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BG,offwind,2030,7.483234562624098,30.373128518886045,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
CH,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
CZ,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
DE,offwind,2030,25500.0,34500.0,MW,30 GW  (Agora)  +/-15.0% for min/max,generator
DK,offwind,2030,2727.193723807309,7691.974181828997,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
EE,offwind,2030,301.66159023741096,408.13038679179124,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
ES,offwind,2030,535.0976689746809,744.3656969640962,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
FI,offwind,2030,495.4762296446908,2169.327708060374,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
FR,offwind,2030,913.2286505568254,1296.3091356023597,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
GB,offwind,2030,43633.33333333333,60566.66666666666,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
GR,offwind,2030,528.1380708524189,1020.7710613113981,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
HR,offwind,2030,266.30930650325683,407.29658641674587,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
HU,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
IE,offwind,2030,1037.9469271213857,1683.0335720672833,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
IT,offwind,2030,1859.0390915851103,2627.371451763518,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
LT,offwind,2030,57.61353138908771,99.77308024086719,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
LU,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
LV,offwind,2030,126.4456871081231,171.07357667569596,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
ME,offwind,2030,3.580417414960066,4.844094149651854,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
MK,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
NL,offwind,2030,10556.673954434431,18838.20266006834,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
NO,offwind,2030,288.5690720030513,511.2510349832595,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
PL,offwind,2030,5100.0,6899.999999999999,MW,Forum Energii 25.11.2024  +/-15.0% for min/max,generator
PT,offwind,2030,210.80550424809965,384.4100371582994,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
RO,offwind,2030,38.49980842894011,74.69219215736662,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
SE,offwind,2030,1367.9582846515154,2003.6565463425138,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
SI,offwind,2030,0.8673489948275059,1.1734721694725079,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
SK,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
AL,onwind,2030,408.5852413419483,552.7917971096947,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
AT,onwind,2030,6715.0,10350.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BA,onwind,2030,85.0,114.99999999999999,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BE,onwind,2030,7528.380360266833,10552.499233124418,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
BG,onwind,2030,757.5167654373759,3074.6268714811144,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
CH,onwind,2030,255.0,356.5,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
CZ,onwind,2030,680.0,1724.9999999999998,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
DE,onwind,2030,97750.0,132250.0,MW,115 GW (Agora) +/-15.0% for min/max,generator
DK,onwind,2030,4285.816276192691,12088.025818171003,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
EE,onwind,2030,1653.338409762589,2236.8696132082086,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
ES,onwind,2030,50719.90233102531,70555.6343030359,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
FI,onwind,2030,5624.523770355309,24625.672291939623,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
FR,onwind,2030,30196.771349443177,42863.69086439764,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
GB,onwind,2030,21816.666666666664,30283.33333333333,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
GR,onwind,2030,5421.861929147582,10479.228938688604,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
HR,onwind,2030,1688.6906934967433,2582.703413583254,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
HU,onwind,2030,255.0,1265.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-15.0% for min/max,generator
