TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.44,0.02,0.06,0.37,0.50,0.36,0.06,0.20,0.00,0.09,0.01,1.32
AT1 0,1.31,0.00,0.00,0.35,0.34,0.11,0.17,0.06,0.00,0.00,0.00,1.03
AT1 1,31.18,1.59,1.90,7.71,11.44,3.61,2.36,1.56,0.00,1.65,0.05,16.80
AT1 2,14.38,0.00,0.11,3.19,8.63,2.98,1.53,3.36,0.00,1.40,0.16,9.40
BA1 0,3.24,0.40,0.64,0.85,1.18,2.10,0.11,0.40,0.00,0.83,0.01,2.67
BE1 0,82.46,1.22,2.41,6.72,63.84,19.88,2.75,15.44,0.00,4.66,1.26,37.94
BG1 0,19.95,0.00,0.32,2.53,6.99,2.42,0.96,2.46,0.00,2.61,0.48,8.95
CH1 0,12.02,0.21,0.74,5.46,5.41,6.50,1.00,7.69,0.00,1.57,0.24,11.49
CZ1 0,45.96,1.17,2.28,7.65,23.59,7.13,4.92,4.35,0.00,3.36,0.26,22.64
DE1 0,22.49,0.02,0.12,5.56,5.60,4.95,3.02,1.43,0.00,1.27,0.10,18.16
DE1 1,41.37,0.30,0.49,4.83,11.50,9.34,3.91,4.11,0.00,1.76,0.30,28.33
DE1 2,124.30,1.91,2.67,11.15,37.98,28.51,11.01,17.22,0.00,3.80,1.30,65.67
DE1 3,31.27,0.19,0.43,6.72,10.15,8.20,4.02,4.06,0.00,3.20,0.30,20.08
DE1 4,30.71,0.01,0.22,6.19,9.16,8.34,3.86,2.79,0.00,2.00,0.20,23.87
DE1 5,34.53,0.01,0.18,5.02,15.73,10.86,5.27,9.33,0.00,1.91,0.71,19.41
DE1 6,46.08,0.05,0.27,8.81,16.92,11.65,7.01,9.56,0.00,1.93,0.72,28.71
DE1 7,26.44,0.12,0.24,4.04,6.65,6.16,2.65,1.48,0.00,1.01,0.10,20.64
DK1 0,12.36,0.00,0.39,1.99,2.86,1.60,0.71,1.37,0.00,0.66,0.00,5.84
DK2 0,5.29,0.00,0.05,0.76,1.07,0.31,0.25,0.33,0.00,0.02,0.00,2.56
EE6 0,3.69,0.00,0.09,0.62,1.27,0.29,0.35,0.30,0.00,0.18,0.00,2.07
ES1 0,51.24,1.36,1.80,6.15,20.99,3.58,0.80,4.83,0.00,3.15,0.24,30.54
ES1 1,25.76,0.09,0.20,6.40,12.04,2.40,0.71,3.28,0.00,2.08,0.14,15.65
ES1 2,52.54,0.34,0.57,15.15,25.21,6.47,1.49,6.39,0.00,5.14,0.27,29.32
ES4 0,0.77,0.00,0.00,0.23,0.26,0.05,0.02,0.04,0.00,0.08,0.00,0.54
FI2 0,66.57,0.46,0.74,26.61,11.18,5.14,8.77,2.26,0.00,1.43,0.34,37.89
FR1 0,27.27,0.01,0.14,2.35,15.17,3.35,2.12,2.57,0.00,1.77,0.13,15.39
FR1 1,58.82,1.02,1.76,2.39,33.21,7.70,3.08,8.52,0.00,4.00,0.49,29.02
FR1 2,62.64,0.16,0.53,4.66,35.39,7.86,4.69,8.10,0.00,3.06,0.45,34.01
FR1 3,34.47,0.62,1.06,2.15,19.96,4.75,2.11,4.56,0.00,2.48,0.26,16.54
FR1 4,20.28,0.00,0.11,1.86,9.46,2.03,1.59,0.87,0.00,1.68,0.02,12.06
GB0 0,57.68,0.82,1.71,10.98,17.85,8.16,8.34,5.65,0.00,3.45,0.19,37.83
GB0 1,57.17,0.66,1.57,9.73,20.71,9.95,7.98,7.49,0.00,4.78,0.34,38.26
